㖁	口 乂 左字框 厶
㖂	口 曳无丿 3
㖃	口 反字框 1 口
㖄	口 横三点 川
㖅	口 戊 1
㖆	口 曲
㖇	口 而
㖈	耂 匕 口
㖉	口 全字头 止
㖊	口 彐 寸
㖋	全字头 乔字底 口 匕
㖌	亻 九 口 匕
㖍	冬字底 十 口 匕
㖎	口 匕 全字头 乔字底
㖏	口 日 土
㖐	口 口 聿三 3
㖑	口 戈 廾
㖒	口 丷 弓 2 3
㖓	口 夊 丰
㖔	口 夭 口
㖕	口 辛
㖖	辛 口
㖗	口 山 全字头 4 5
㖘	口 辰
㖙	力 口 口 匕
㖚	亻 寸 口 匕
㖛	古 口 匕
㖜	享字头 口 匕
㖝	未 口 匕
㖞	口 口 冂 人
㖟	口 爫 冖 又
㖠	口 大 示
㖡	口 亠 亻 夕 4
㖢	口 广 止 匕
㖣	口 立 口
㖤	口 5 氺 凵
㖥	口 囗 禾
㖦	口 木框 日
㖧	口 卬字旁 弋二 日
㖨	口 录字头 氺
㖩	口 耳 又
㖪	口 戈 口 1
㖫	口 土 八 夊
㖬	口 臼 又
㖭	口 1 大 恭字底无丶 4
㖮	口 全字头 1 扁字心
㖯	冂 1 口 口 匕
㖰	口 匕 冂 1 口
㖱	亠 亻 夕 4 口
㖲	女 口 口 匕
㖳	氵 女 口 匕
㖴	口 艹 勹 横两撇
㖵	口 具字头 八
㖶	口 覀 土
㖷	口 日 1 龰
㖸	口 虍 虐字底
㖹	口 八 刀 皿
㖺	口 春字头 日
㖻	口 予 3 木
㖼	口 卄 二 木
㖽	口 頁
㖾	口 口 䒑 䶹
㖿	口 耳 阝
㗀	口 山 幺 幺
㗁	口 口 口 1 丂
㗂	口 少三 3 目
㗃	口 民字框 弋二 日
㗄	口 罒 方
㗅	口 古 月
㗆	口 革
㗇	口 叚字旁无二 二 叚右角 又
㗈	口 龴 甬字底 力
㗉	丰 刀 夊 口
㗊	口 口 口 口
㗋	口 尔字头 厂 矢
㗌	口 宀 至
㗍	口 禾 日
㗎	口 力 口 木
㗏	口 不 正
㗐	口 大 4 皿
㗑	口 龵 1 丰
㗒	口 享字头 衣省
㗓	口 追字心 辶
㗔	口 虍 文
㗕	口 寒字腰 冂 里无日
㗖	口 爫 臼
㗗	口 力 卑六 十
㗘	口 甫 寸
㗙	口 勹 䶹 勹 䶹
㗚	口 覀 木
㗛	口 竹头 夭
㗜	口 亠 幺 田
㗝	口 美字头 灬
㗞	口 石 皮
㗟	氵 4 王 口 匕
㗠	女 厶 口 口 匕
㗡	艹 亻 乃 口 匕
㗢	口 千 里 力
㗣	口 帶字头无横 1 冖 巾
㗤	戊 上 小 口
㗥	口 享字头 子 阝
㗦	口 耳 卯
㗧	口 穴 至
㗨	匚 矢 殳 口
㗩	口 习 习 白
㗪	口 止 匕 糸
㗫	口 祭字头 示
㗬	尚头 夕 夕
㗭	口 3 米 心
㗮	夕 口 广 聿三 人
㗯	耂 日 口 匕
㗰	口 彳 人 人 龰
㗱	口 隹 木
㗲	口 聿三 土 田 1
㗳	口 竹头 合
㗴	口 門 月
㗵	口 火 火 欠
㗶	口 癶 弓 殳
㗷	口 宀 寒字腰 贝
㗸	口 彳 缶 亍
㗹	口 隹 心
㗺	口 1 大 非
㗻	口 咼 辶
㗼	口 业 羊 木无十
㗽	丝左角 3 4 彐 瓜字心 阝 口
㗾	口 革 亻 化字边
㗿	口 門 丁 口
㘀	口 臼 米
㘁	口 罒 土 南字心
㘂	口 䒑 幺 幺 心
㘃	口 艹 左字框 口 心
㘄	口 木 罒 方
㘅	口 彳 金 亍
㘆	口 士 口 冖 至
㘇	口 火 火 冖 木
㘈	口 匕 矢 龴 5 龰
㘉	口 竹头 彐 瓜字心 卩
㘊	口 雨头 言
㘋	口 臣 又 貝
㘌	口 虍 豕 刂
㘍	口 小 隹 戈
㘎	口 门 5 耳 攵
㘏	䒑 自 辶 口 匕
㘐	口 馬 亠 八 乂
㘑	口 士 示 隶
㘒	禾 千 里 口 匕
㘓	口 門 木框 囗 丷
㘔	口 宀 寒字腰 八 貝
㘕	口 艹 臣 临右角 皿
㘖	口 立 3 彡 頁
㘗	口 目 目 隹
㘘	言 糹 糹 口
㘙	口 口 口 厂 5 耳 攵
㘚	口 門 5 耳 攵
㘛	口 合 立 青字底 龍字边
㘜	隹 言 隹 口
㘝	囗 又
㘞	囗 力
㘟	囗 廾
㘠	囗 心 3
㘡	囗 甲
㘢	囗 尚字头 兀
㘣	囗 口 青字底
